55000,55000,55500,57300,172700,65000
65000,120000,104400,106200,123800,65000
65000,185000,130700,132500,97500,48000
48000,233000,83080,84880,145120,48000
48000,281000,46130,47930,182070,48000
48000,329000,22790,24590,205410,48000
48000,377000,9590,11390,218610,48000
48000,473000,8880,10680,219320,48000
48000,521000,21310,23110,206890,48000
48000,569000,43700,45500,184500,48000
48000,617000,79290,81090,148910,48000
48000,665000,106900,108700,121300,65000
65000,730000,55500,57300,172700,55000
55000,785000,14194,15994,214006,0
